Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Machine Learning Engineer-MLOps,Tiger Analytics,Not disclosed,"Hyderabad, Chennai, Bengaluru",Desired Skills and Experience :3+ years of experience with at least 2+ years of relevan...,27 Days Ago,Data Science,Pyspark,Azure Databricks,Machine Learning,Devops,Cicd Pipeline,CI/Cd,Science
Machine Learning Intern,Flaggai,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Company Description. Welcome to FlaggAI Where Innovation Meets Influence! At FlaggAI, w...",16 Days Ago,deep learning,data science,computer science,statisticsalgorithms,machine learninginfluencer marketing,Science,Marketing,Machine learning
Junior MACHINE LEARNING ENGINEER,Tata Technologies,Not disclosed,Bengaluru,Experience level : 3- 5 Years relevant experience Skillset for junior ML EngineerBachel...,30+ Days Ago,algorithms,python,data validation,natural language processing,mathematics,neural networks,microsoft azure,machine learning
Senior Machine Learning Engineer Time Series & Computer Vision,Stylumia,Not disclosed,Bengaluru,Around 2-4 years of experience working in a role within a quantitative field (e.gSkills...,18 Days Ago,pandas,coding,project management,data science,data visualization,numpy,data wrangling,communication skills
Senior Machine Learning Engineer,Prudential,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The ideal candidate should have an established background in designing and building a ...,15 Days Ago,Computer science,Cloud computing,Automation,Manager Quality Assurance,Machine learning,JSON,Monitoring,SQL
Senior Machine Learning Engineer,Splore Human Centric Ai,Not disclosed,Bengaluru,Business Use Case Translation : Understand business needs and collaborate with the...,30+ Days Ago,Product management,C++,GCP,Enterprise applications,Machine learning,Technical leadership,Information technology,Distribution system
Senior Software Engineer (Machine Learning),Williams-sonoma,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Demonstrate a deep knowledge of, and ability to operationalize, leading data & analyt...",30+ Days Ago,deep learning,Automation,Data analysis,Quality improvement,Coding,Machine learning,Infrastructure,E-commerce
Senior Machine Learning Engineer,Deliveroo,Not disclosed,Bengaluru,"The Data Science Org At Deliveroo, we have a world-class data science organisatio...",17 Days Ago,Data analysis,Bidding,Machine learning,Agile,Healthcare,Application development,Monitoring,Analytics
Sr Software Engineer-Machine Learning,Extreme Networks,Not disclosed,Bengaluru,"Be a thought leader and forward thinker, help drive an innovative vision for our vari...",30+ Days Ago,Computer science,Operational excellence,Coding,Machine learning,Software development life cycle,Deployment,Technical Lead,Mentor
Senior Machine Learning Engineer,Earnin,Not disclosed,Bengaluru,"Design, build, A/B test and maintain machine learning and statistical models to optim...",30+ Days Ago,Computer science,Data analysis,GCP,Finance,Machine learning,Healthcare,Digital marketing,Continuous improvement
